,title,artist,songid,weekid,track_title,track_n,line,lyric
0,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,1.0,"Jingle bell, jingle bell, jingle bell rock"
1,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,2.0,Jingle bells swing and jingle bells ring
2,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,3.0,Snowin' and blowin' up bushels of fun
3,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,4.0,"Now, the jingle hop has begun"
4,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,5.0,"Jingle bell, jingle bell, jingle bell rock"
5,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,6.0,Jingle bells chime in jingle bell time
6,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,7.0,Dancin' and prancin' in Jingle Bell Square
7,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,8.0,In the frosty air
8,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,9.0,"What a bright time, it's the right time"
9,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,10.0,To rock the night away
10,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,11.0,Jingle bell time is a swell time
11,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,12.0,To go glidin' in a one-horse sleigh
12,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,13.0,"Giddy-up jingle horse, pick up your feet"
13,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,14.0,Jingle around the clock
14,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,15.0,Mix and a-mingle in the jinglin' feet
15,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,16.0,That's the jingle bell rock
16,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,17.0,"Jingle bell, jingle bell, jingle bell rock"
17,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,18.0,Jingle bells chime in jingle bell time
18,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,19.0,Dancin' and prancin' in Jingle Bell Square
19,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,20.0,In the frosty air
20,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,21.0,"What a bright time, it's the right time"
21,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,22.0,To rock the night away
22,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,23.0,Jingle bell time is a swell time
23,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,24.0,To go glidin' in a one-horse sleigh
24,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,25.0,"Giddy-up jingle horse, pick up your feet"
25,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,26.0,Jingle around the clock
26,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,27.0,Mix and a-mingle in the jinglin' feet
27,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,28.0,That's the jingle bell
28,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,29.0,That's the jingle bell
29,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,12/20/1958,Jingle Bell Rock,1,30.0,That's the jingle bell rock
30,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,1.0,"Silent night, holy night all is calm, all is bright"
31,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,2.0,"Round yon virgin, mother and child"
32,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,3.0,Holy infant so tender and mild
33,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,4.0,"Sleep in heavenly peace, sleep in heavenly peace"
34,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,5.0,"Silent night, holy night all is calm, all is bright"
35,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,6.0,"Round yon virgin, mother and child"
36,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,7.0,Holy infant so tender and mild
37,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Silent Night,1,8.0,"Sleep in heavenly peace, sleep in heavenly peace"
38,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,1.0,Adeste fideles
39,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,2.0,Laeti triumphantes
40,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,3.0,"Venite, venite in Bethlehem!"
41,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,4.0,Natum videte
42,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,5.0,Regem angelorum
43,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,6.0,Venite adoremus
44,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,7.0,Venite adoremus
45,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,8.0,Venite adoremus
46,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,9.0,Dominum
47,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,10.0,Cantet nunc Io!
48,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,11.0,Chorus angelorum;
49,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,12.0,Cantet nunc aula caelestium
50,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,13.0,"Gloria, gloria"
51,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,14.0,In excelsis Deo
52,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,15.0,Venite adoremus
53,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,16.0,Venite adoremus
54,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,17.0,Venite adoremus
55,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,12/20/1958,Adeste Fideles,2,18.0,Dominum
